Field_Name,Type,Range,Description
Text_ID,String,W_001 - M_003_G3,Unique document identifier
Author,String,Free text,Source author of human seed passage
Tradition,Factor,Western Minimalist | Postcolonial Anglophone | Persian Modernist,Literary tradition condition
Corpus,Factor,Human | GPT-4o,Authorial source
Type,Factor,Human | GPT-4o,Alias of Corpus for pipeline compatibility
Generation,Integer,- / 1-3,Generation index for GPT-4o passages
Text,String,Free text,Passage content
MATTR,Float,0-1,Moving-Average Type-Token Ratio (W=50)
Burrows_Delta,Float,>=0,Distributional distance over most frequent words relative to human seed
MLS,Float,>0,Mean Length of Sentence (words per sentence)
HLR / Hapax_Ratio,Float,0-100,Hapax Legomena Ratio (%)
Mean_Word_Len,Float,>0,Average character count per token
Lexical_Density / Lex_Density,Float,0-1,Content words relative to total tokens
