Text_ID,MATTR,Burrows_Delta,MLS,Hapax_Ratio,Mean_Word_Len,Lex_Density,Tradition,Type
W_001,0.75,0.0,12.5,48.5,4.2,0.65,Western,Human
W_001_G1,0.73,0.41,12.2,47.1,4.1,0.63,Western,GPT-4o
W_001_G2,0.72,0.45,11.9,46.2,4.2,0.62,Western,GPT-4o
W_001_G3,0.74,0.38,12.1,46.8,4.1,0.64,Western,GPT-4o
W_002,0.76,0.0,11.8,47.8,4.1,0.66,Western,Human
W_002_G1,0.74,0.42,12.1,46.5,4.1,0.64,Western,GPT-4o
W_002_G2,0.72,0.48,11.5,45.8,4.2,0.61,Western,GPT-4o
W_002_G3,0.73,0.39,12.0,46.1,4.1,0.63,Western,GPT-4o
W_003,0.78,0.0,14.2,49.2,4.5,0.68,Western,Human
W_003_G1,0.76,0.44,13.8,48.1,4.4,0.66,Western,GPT-4o
W_003_G2,0.75,0.47,13.5,47.5,4.5,0.65,Western,GPT-4o
W_003_G3,0.77,0.41,14.0,48.4,4.4,0.67,Western,GPT-4o
P_001,0.81,0.0,18.5,53.2,4.8,0.71,Postcolonial,Human
P_001_G1,0.66,1.1,15.1,40.5,4.5,0.62,Postcolonial,GPT-4o
P_001_G2,0.69,1.22,16.2,42.1,4.6,0.64,Postcolonial,GPT-4o
P_001_G3,0.65,1.18,15.8,39.8,4.4,0.61,Postcolonial,GPT-4o
P_002,0.83,0.0,19.2,54.5,4.9,0.73,Postcolonial,Human
P_002_G1,0.64,1.15,15.5,41.2,4.5,0.61,Postcolonial,GPT-4o
P_002_G2,0.67,1.28,16.8,43.1,4.6,0.63,Postcolonial,GPT-4o
P_002_G3,0.62,1.21,15.2,38.5,4.4,0.6,Postcolonial,GPT-4o
P_003,0.8,0.0,17.8,51.8,4.7,0.7,Postcolonial,Human
P_003_G1,0.68,1.05,16.1,41.5,4.5,0.64,Postcolonial,GPT-4o
P_003_G2,0.71,1.12,16.5,42.8,4.6,0.65,Postcolonial,GPT-4o
P_003_G3,0.65,1.19,15.7,40.1,4.4,0.62,Postcolonial,GPT-4o
M_001,0.86,0.0,25.1,59.1,5.1,0.75,Persian,Human
M_001_G1,0.57,2.61,14.5,31.2,4.4,0.58,Persian,GPT-4o
M_001_G2,0.61,2.75,15.1,34.5,4.5,0.61,Persian,GPT-4o
M_001_G3,0.55,2.58,14.2,29.8,4.3,0.56,Persian,GPT-4o
M_002,0.84,0.0,23.8,57.5,5.0,0.74,Persian,Human
M_002_G1,0.59,2.72,14.8,33.1,4.4,0.59,Persian,GPT-4o
M_002_G2,0.62,2.81,15.4,35.2,4.5,0.62,Persian,GPT-4o
M_002_G3,0.56,2.65,14.1,30.1,4.3,0.57,Persian,GPT-4o
M_003,0.87,0.0,26.2,60.2,5.2,0.77,Persian,Human
M_003_G1,0.58,2.68,14.2,32.1,4.4,0.58,Persian,GPT-4o
M_003_G2,0.6,2.88,15.0,34.8,4.5,0.61,Persian,GPT-4o
M_003_G3,0.54,2.52,13.8,28.5,4.3,0.55,Persian,GPT-4o
